RandomID,Sel_50,Score
ID_305,1,1.0000
ID_354,1,0.9621
ID_2658,1,0.9402
ID_5012,1,0.9264
ID_3129,1,0.8871
ID_2067,1,0.8623
ID_4921,1,0.8573
ID_6635,1,0.8559
ID_2831,1,0.8413
ID_2692,1,0.8346
ID_6031,1,0.8337
ID_673,1,0.8272
ID_3553,1,0.8123
ID_1378,1,0.8028
ID_2682,1,0.7902
ID_3280,1,0.7873
ID_302,1,0.7859
ID_497,1,0.7826
ID_2965,1,0.7817
ID_4163,1,0.7799
ID_4495,1,0.7706
ID_2227,1,0.7705
ID_4047,1,0.7607
ID_1717,1,0.7607
ID_1804,1,0.7600
ID_1463,1,0.7576
ID_938,1,0.7559
ID_5134,1,0.7544
ID_4776,1,0.7524
ID_5578,1,0.7519
ID_5284,1,0.7518
ID_831,1,0.7518
ID_2169,1,0.7442
ID_1382,1,0.7422
ID_601,1,0.7419
ID_5608,1,0.7417
ID_4289,1,0.7406
ID_2140,1,0.7376
ID_2468,1,0.7373
ID_667,1,0.7360
ID_4889,1,0.7357
ID_2395,1,0.7356
ID_5239,1,0.7350
ID_5801,1,0.7318
ID_885,1,0.7314
ID_6178,1,0.7311
ID_591,1,0.7301
ID_37,1,0.7295
ID_3599,1,0.7294
ID_1670,1,0.7285
